Purchase |DC0000043 |MADURAI\ PHARMACEUTICAL\ DISTRIBUTOR |58120 |OCUPOL-D_ |CEN |856 |2 |2013-07-01 |9.42
Purchase |DC0000043 |MADURAI\ PHARMACEUTICAL\ DISTRIBUTOR |35847 |GEMER_2mg |XIE |BSL0647 |5 |2014-02-01 |53.80
Purchase |DC0000043 |MADURAI\ PHARMACEUTICAL\ DISTRIBUTOR |35218 |G\ REG-\ SR_500mg |ORC |SFR159 |10 |2015-02-01 |16.00
Purchase |DC0000043 |MADURAI\ PHARMACEUTICAL\ DISTRIBUTOR |59544 |OLIT_20mg |CAD |IH11002 |1 |2013-10-01 |37.24
Purchase |DC0000043 |MADURAI\ PHARMACEUTICAL\ DISTRIBUTOR |106297 |PHENOXYMETHYL\ PENCILIN_ |OTH |2331 |3 |2014-04-01 |9.33
Purchase |DC0000043 |MADURAI\ PHARMACEUTICAL\ DISTRIBUTOR |106298 |OXALIGIN\ DP_ |ZYD |ZHM2051 |4 |2015-03-01 |22.34
Purchase |DC0000043 |MADURAI\ PHARMACEUTICAL\ DISTRIBUTOR |7997 |AUGMENTIN\ 375_375MG |GLA |GLX294 |2 |2013-06-01 |190.61
Purchase |DC0000043 |MADURAI\ PHARMACEUTICAL\ DISTRIBUTOR |7995 |AUGMENTIN_625MG |GLA |MH204 |2 |2013-08-01 |204.80
Purchase |DC0000043 |MADURAI\ PHARMACEUTICAL\ DISTRIBUTOR |19664 |CLINCIN_20GM |IND |L69 |2 |2014-03-01 |52.51
Purchase |DC0000043 |MADURAI\ PHARMACEUTICAL\ DISTRIBUTOR |20872 |COLISTOP_30ML/12.5mg |IND |CPR2004 |2 |2013-11-01 |23.94
Purchase |DC0000043 |MADURAI\ PHARMACEUTICAL\ DISTRIBUTOR |106299 |DERMAGARD_20GM |IND |C236 |1 |2013-09-01 |14.90
Purchase |DC0000002 |ANAND\ PHARMA\ AGENCY |13292 |CA\ -250_45mg |FOU |123 |10 |2016-11-01 |2.00
Purchase |DC0000003 |SRI\ VIGNESH\ PHARMA |23299 |DE\ -QUIT_250mg |GEN |1 |10 |2017-11-01 |10.00
Purchase |DC0000002 |ANAND\ PHARMA\ AGENCY |22076 |CS\ PLUS_ |SOH |123 |10 |2014-01-01 |10.00
Purchase |DC0000002 |ANAND\ PHARMA\ AGENCY |13622 |CALCIGARD\ RETARD_10mg |TOR |123 |10 |2013-05-01 |10.00
Purchase |DC0000006 |SURUTHI\ AGENCIES |13293 |CA\ -500_90mg |FOU |123 |10 |2015-12-01 |2.50
Purchase |DC0000002 |ANAND\ PHARMA\ AGENCY |13622 |CALCIGARD\ RETARD_10mg |TAB |123 |100 |2013-05-01 |15.00
Purchase |DC0000002 |ANAND\ PHARMA\ AGENCY |95930 |CANTHALAX_ |TAB |1234 |10 |2013-05-01 |10.00
Purchase |DC0000002 |ANAND\ PHARMA\ AGENCY |69814 |RANX_ |TAB |0025 |10 |2014-06-01 |20.00
Purchase |DC0000070 |Rajeswari\ Enterprises |13292 |CA\ -250_45mg |FOU |12356 |10 |2014-01-01 |1.00
Purchase |DC0000003 |SRI\ VIGNESH\ PHARMA |70090 |RE\ -ACTIVE_ |MOR |1025 |10 |2014-02-01 |2.00
Purchase |DC0000002 |ANAND\ PHARMA\ AGENCY |13293 |CA\ -500_90mg |FOU |12345 |5 |2014-01-01 |2.50
Purchase |DC0000071 |newdist |7063 |ASA_50mg |CAD |1234 |100 |2018-01-01 |2.12
Purchase |DC0000071 |newdist |7064 |ASA_75mg |CAD |123456 |100 |2019-01-01 |0.20
Purchase |DC0000071 |newdist |7065 |ASACOL_400mg |WIN |123 |1000 |2019-01-01 |15.76
